Table 1
Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
Ivory Coast,Africa,"86,911",2024,"70,018",2022,"70,018",2022
Uruguay,Americas,"82,605",2024,"71,177",2022,"71,171",2022
Turkmenistan,Asia,"81,896",2024,"56,542",2022,"67,009",2022
Serbia,Europe,"81,873",2024,"63,563",2022,"63,563",2022
Lithuania,Europe,"81,170",2024,"70,974",2022,"70,878",2022
Tanzania,Africa,"79,605",2024,"75,732",2022,"73,535",[n 8]2022
Azerbaijan,Asia,"78,749",2024,"78,721",2022,"78,721",2022
Ghana,Africa,"75,244",2024,"73,766",2022,"73,766",2022
Sri Lanka,Asia,"74,846",2022,"74,403",2022,"76,187",2022
DR Congo,Africa,"73,761",2024,"64,718",2022,"62,551",2022
Slovenia,Europe,"72,101",2024,"60,063",2022,"59,981",2022
Belarus,Europe,"69,048",2024,"72,793",2022,"72,873",2022
Myanmar,Asia,"68,006",2024,"62,263",2022,"65,211",2022
Uganda,Africa,"56,310",2024,"45,567",2022,"48,243",2022
Tunisia,Africa,"54,708",2024,"46,303",2022,"46,181",2022
Macau,Asia,"54,677",[n 9]2024,"24,042",2022,"24,042",2022
Jordan,Asia,"53,570",2024,"48,653",2022,"47,452",2022
Cameroon,Africa,"53,205",2024,"43,644",2022,"44,341",2022
Bolivia,Americas,"49,334",2024,"44,008",2022,"44,008",2022
Libya,Africa,"48,221",2024,"45,752",2022,"40,537",2022
Bahrain,Asia,"46,790",2024,"44,383",2022,"44,382",2022
Paraguay,Americas,"45,817",2024,"41,722",2022,"41,722",2022
Latvia,Europe,"45,466",2024,"40,932",2022,"40,876",2022
Cambodia,Asia,"45,150",2024,"29,504",2022,"29,504",2022
Nepal,Asia,"44,179",2024,"40,828",2022,"39,406",2022
Estonia,Europe,"43,486",2024,"38,100",2022,"38,049",2022
Honduras,Americas,"37,355",2024,"31,717",2022,"31,717",2022
Senegal,Africa,"35,450",2024,"27,684",2022,"27,775",2022
El Salvador,Americas,"35,333",2024,"32,488",2022,"32,488",2022
Zimbabwe,Africa,"34,405",2024,"27,366",2022,"26,418",2022
Cyprus,Asia,"34,221",[n 10]2024,"29,250",[n 10]2022,"29,210",[n 10]2022
Iceland,Europe,"33,338",2024,"28,064",2022,"28,064",2022
